permeability
dpressure,0.0,3.278248264286259,0.006256198977645533,1.255893797207599,1.5702296482795453,1.7457846952010376,1.8796063172350652,1.9478904402227817,2.030060273136492,2.072785534447242,2.129472800793469,2.163042648966201,2.209811551079576,2.259708552681773,2.39833676661326,2.545052262149996,2.72983901731899,2.9346150911726556,3.1635767147325855,3.376821545738918,3.6164644846265355,3.8557259479667354,4.101167315175097,4.343099107347219,4.577477683680476,5.006485084306096,5.265888456549935,5.488670176241703,5.740444037537194,5.97085526817731,6.2073701075761045,6.460669871061265,6.710917830167086,6.9581139848935685,7.232776379034104,7.483024338139925,7.766842145418479,8.050659952697032,8.284122987716488,8.537422751201648,8.775463492790113,9.068436713206683,9.34004730296788,9.587243457694361,9.85580224307622,10.125886930647745,10.428015564202335,10.714885175860227,10.965133134966049,11.270313572899978,11.560234988937209,11.828793774319067,12.092774853131914,12.349126420996415,12.599374380102235,12.87861448081178,13.122758831158922,13.374532692454414,13.6415655756466,13.913176165407798,14.172579537651636,14.506752117189288,14.746318760967421
darcy avg,13.43
fluidname,Galwick 
duration,0:7:38
pg2value,100
pg2offset,0.08331425955596246
splate,Medium
dflow,0.0,3326.46677347982,3112.84046692607,1623.5599298084992,958.2665751125353,961.3183794918746,625.6198977645533,881.9714656290532,637.8271152819104,930.8003356984817,766.0028992141604,1055.9243152513923,921.6449225604639,1229.8771648737315,1239.0325780117494,1910.429541466392,2413.9772640573738,3451.5907530327304,4278.6297398336765,5539.024948500801,6573.586633096818,7953.002212558175,9149.309529259175,10632.486457618066,11898.98527504387,13330.281528953994,14953.841458762494,16046.387426565958,17718.776226443886,18930.34256504158,20709.544518196384,22021.820401312278,23877.31746395056,25299.458304722666,27197.680628671704,28842.603189135578,30908.67475394827,32651.255054551002,34738.68925001907,36505.68398565652,38553.44472419318,40366.216525520715,42551.30846112764,44431.21995880064,46460.66987106126,48456.54993514916,50653.84908827344,52704.66163118944,54828.71747920958,57077.89730678264,59205.004959182115,61420.61493858244,63334.09628442817,65537.49904631113,67450.98039215687,69584.19165331502,71464.10315098803,73722.43839169909,75544.36560616465,77863.7369344625,79682.61234454872,82124.05584802014,84071.10704203861
durationsecond,458
darcy,11926.491296843298,5848138.594804409,15194.511927761969,7172.8956432795885,6472.140097439287,3912.145536209649,5321.834372042712,3692.8816645796483,5278.05009411513,4227.948238773817,5737.716075021412,4902.072625711714,6397.06339162812,6072.16977760609,8822.784385099143,10393.63554883886,13824.183691991864,15896.35968471151,19279.535079360383,21364.34251869248,24243.55427805262,26221.176784150623,28774.411099442543,30553.08280534413,31295.20067011887,33377.396824342075,34362.241464585,36279.35703627635,37264.32634923412,39213.377693862465,40063.32703753122,41819.126585964594,42735.720394480355,44197.548139173756,45303.17532385238,46774.29514263533,47669.40618743974,49287.66404478132,50257.982244529674,51637.41224194135,52318.70245984888,53547.00554378327,54471.060126017815,55407.025015397194,56245.88591255779,57092.90313511891,57813.97812509645,58771.330661532724,59525.535614327346,60195.37236147467,61030.23548281499,61557.78104258071,62377.07034717018,62923.175441361105,63505.71197037391,64007.98358932889,64787.678773892316,65089.24127963463,65777.94550341523,66082.43028242291,66538.27616218445,67009.20946139855
frazier,3.0
testtime,13:12:21
testdate,04/02/2019
testname,permeability
sample,5umnew
fluidvalue,15.9
lotno,123
application,Fluorocarbons(PTFE or TFE)
gurley,2.0
customerid,N0037
pg1value,5
thikness,.2
indistry,Polymer
samplediameter,2.25
materialclassification,Fiborous
pg1offset,0.026092927443350882
