permeability
testname,permeability
sample,iit naso
samplediameter,2.3
thikness,.18
fluidname,Nitrogen
fluidvalue,0.0185
lotno,1
duration,111:11:15
durationsecond,400275
testtime,09:36:11
testdate,22/07/2019
customerid,N0048
indistry,Filtration
application,air filter
materialclassification,Fibrous
splate,Medium
darcy avg,8809.48
dflow,293.8910757438866,463.68418308387686,463.68418308387686,421.3666835979344,421.3666835979344,378.9620974020681,5308.496645461215,18915.1679475774,35571.947601129184,52475.626461526204,68867.20790777472,83072.94864879345,96534.88805413706,110475.09187344782,123393.87614179944,136906.23496173165,147921.16436720273,152751.44238562608,154947.42901554244,156621.05236676644,158346.31404943258,159908.35603718326
dpressure,0.0,3.0518043793392844E-4,3.0518043793392844E-4,2.2888532845044633E-4,2.2888532845044633E-4,1.5259021896696422E-4,0.010299839780270085,0.1023117418173495,0.26291294728007936,0.5025558861676966,0.797741664759289,1.0893415732051575,1.4238956282902266,1.8090333409628443,2.172045471885252,2.619363698786908,2.9276722362096588,3.0357061112382695,3.1052872510872054,3.167009994659342,3.2246128023193714,3.2839703974975203
dfloworiginal,293.8910757438866,463.68418308387686,463.68418308387686,421.3666835979344,421.3666835979344,378.9620974020681,5308.496645461215,18915.1679475774,35571.947601129184,52475.626461526204,68867.20790777472,83072.94864879345,96534.88805413706,110475.09187344782,123393.87614179944,136906.23496173165,147921.16436720273,152751.44238562608,154947.42901554244,156621.05236676644,158346.31404943258,159908.35603718326
darcy,235.57425105328954,235.57425105328954,471.14850210657903,42717.4641909965,122027.462045604,6083.050660531611,2177.6125399377906,1593.6468196617195,1229.9071646762757,1016.826424879214,898.2443882786938,798.5516486435895,719.3106902390521,669.147050675307,615.6411788711185,595.0838988768032,592.840255006861,587.4741770941474,582.7100204685537,578.3204339474082,573.559239873676
pg1value,5
pg2value,100
pg1offset,0.0
pg2offset,0.0
gurley,11804.65
frazier,3923.88
