permeability
testname,permeability
sample,iit windows 1
samplediameter,2.3
thikness,.47
fluidname,Nitrogen
fluidvalue,0.0185
lotno,1
duration,111:31:44
durationsecond,401504
testtime,09:56:40
testdate,22/07/2019
customerid,N0048
indistry,Filtration
application,air filter
materialclassification,Fibrous
splate,Medium
darcy avg,29900.27
dflow,753.15735457433,806.0741335231222,806.0741335231222,806.0741335231222,806.0741335231222,788.440881577014,5397.994841224173,22368.903819065126,41219.140652799855,56802.162430814176,73278.17108102224,88005.19753977263,101942.99268221247,115103.34223894178,129000.59227571092,143363.5155870428,156534.9561995607
dpressure,0.0,2.2888532845044633E-4,2.2888532845044633E-4,2.2888532845044633E-4,2.2888532845044633E-4,1.5259021896696422E-4,0.020981155107957578,0.11833371480888075,0.29777981231403067,0.5384145876249332,0.8305485618371863,1.1142137788967728,1.451667048142214,1.8266575112535286,2.1855497062638283,2.6703288319218736,3.077515831235218
dfloworiginal,753.15735457433,806.0741335231222,806.0741335231222,806.0741335231222,806.0741335231222,788.440881577014,5397.994841224173,22368.903819065126,41219.140652799855,56802.162430814176,73278.17108102224,88005.19753977263,101942.99268221247,115103.34223894178,129000.59227571092,143363.5155870428,156534.9561995607
darcy,820.1473925558969,820.1473925558969,820.1473925558969,113180.34017271377,323548.1463633013,11608.813547359377,5921.8766274877435,4136.039233327624,3275.76654106232,2720.5899772722755,2426.830960573421,2150.413790588367,1947.944260199276,1810.7603850307287,1652.0463256079877,1564.2415009841857
pg1value,5
pg2value,100
pg1offset,0.0
pg2offset,0.0
gurley,14193.45
frazier,2276.87
