permeability
testname,permeability
sample,iit windows2
samplediameter,1.0
thikness,.34
fluidname,Nitrogen
fluidvalue,0.0185
lotno,1
duration,111:17:28
durationsecond,400648
testtime,09:42:23
testdate,22/07/2019
customerid,N0048
indistry,Filtration
application,air filter
materialclassification,Fibrous
splate,Small
darcy avg,104095.94
dflow,828.5883382239177,879.0812789932149,879.0812789932149,879.0812789932149,862.2553883030461,879.0812789932149,4286.504702779997,21704.14474946441,41593.96162912456,56332.96863002194,73914.06255089057,87778.11070184801,101647.76892302999,114677.16792580199,128135.6669293653,142472.44490206597,155604.72547712986
dpressure,0.0,2.2888532845044633E-4,2.2888532845044633E-4,2.2888532845044633E-4,1.5259021896696422E-4,2.2888532845044633E-4,0.01617456321049821,0.11802853437094682,0.3101396200503548,0.5374990463111314,0.8564888990615701,1.132448310063325,1.469825284199283,1.8402380407415884,2.2037079423208974,2.6911573968108646,3.096513313496605
dfloworiginal,828.5883382239177,879.0812789932149,879.0812789932149,879.0812789932149,862.2553883030461,879.0812789932149,4286.504702779997,21704.14474946441,41593.96162912456,56332.96863002194,73914.06255089057,87778.11070184801,101647.76892302999,114677.16792580199,128135.6669293653,142472.44490206597,155604.72547712986
darcy,6277.094043621429,3138.5470218107143,3138.5470218107143,654387.0540475341,842699.875356177,52341.193375527284,21987.073916531106,15339.503802170819,12499.614345557718,10151.21181319484,9120.985990656613,8114.3618369497635,7361.7274889076325,6830.773116798154,6233.360993945474,5914.064698677596
pg1value,5
pg2value,100
pg1offset,0.0
pg2offset,0.0
gurley,73350.97
frazier,11790.39
