permeability
testname,permeability
sample,kusumgar 3857
samplediameter,1.0
thikness,0.009
fluidname,Nitrogen
fluidvalue,0.0185
lotno,3857
duration,25 min:58 sec
durationsecond,1558
testtime,15:39:08
testdate,21/11/2019
customerid,N0048
indistry,Textile
application,Geotextiles
materialclassification,
splate,small
dfloworiginal,0.0,0.9536888685435264,1.0808473843493298,37.21929757635869,179.87843645888964,185.68958063121488,192.46712952366423,196.26916914625772,201.46995244271508,206.7088832939142,211.8206556293075,216.6145316751863,222.92159405915416,227.82991276925816,232.75094733094275,237.90086722107782,243.2669565880827,248.30243381399254,253.32519518832174,258.24622975000636,262.9002314284988,268.6859438976628,274.14104422573183,279.3799750769309,283.8813865364564,289.01859057501076,294.346532387274,299.59817909005363,305.9688207319244,310.1269041987742,314.23412425930167,320.312301314819,325.1570407670202,330.71386790773374,334.9355306324864,340.70852725006995,347.0791688919407,350.99565117875943,356.0184125530887,361.19376414638486,365.50443783220163,370.85781134762595,375.4990971745378,381.74258030060275,386.2821393148699,396.84901197833216,400.8672210777956,412.4386460161237,416.88919406932683,423.2216881564558,427.367055771725,433.10190483456677,443.21100684112815,446.98761476056046,453.30739299610894,458.4445970346634,464.06500343327997,468.59184659596656,472.9660995396862,478.9679814857201,483.74914168001834,489.6492968134076,493.3241779201953,499.453218382035,507.09544518196384,509.6004679433382,514.1145952544442,520.0401820909946,525.2918287937744,529.7423768469774,534.4472419317922,539.5335825640243,544.8233768215457,549.7189796800691,560.7690547035935,565.6519417105363,570.0770580605783,576.0662241550316,580.6439307240405,585.9591566847232,590.7276010274408,596.1572696523486,600.963861549808,606.1646448462653,611.2764171816586,616.4009053686326,620.6352839449659,626.7643244068056,631.9269601485212,635.9706009511458,641.5910073497622,647.0333918262506,651.3567813636479,657.5366852318099,668.3960224816256,668.8156455837848,672.5159583937336,677.8566160575774,682.4088909234251,687.685969329366,693.1029221026932,698.1129676254419,703.415477734544,708.0567635614557,713.2193993031713,718.2803082322423,730.7036952264693,730.830853742275,733.9716690826785,738.7528292769766,743.8773174639505,749.3324177920196
