permeability
testname,permeability
sample,Kusumgar 4094
samplediameter,7.0
thikness,0.02
fluidname,Nitrogen
fluidvalue,0.0185
lotno,4094
duration,1 min:41 sec
durationsecond,101
testtime,17:09:14
testdate,21/11/2019
customerid,N0048
indistry,Textile
application,Geotextiles
materialclassification,Fibrous
splate,small
dfloworiginal,0.0,1.3224485643803565,1.3351644159609368,133.3765672287073,198.5580224307622,242.44042623534497,275.2600391648229,299.0513974720887,324.0253299763485,344.8793265685003,363.5207649856311,381.068640166832,397.4466570026195,413.27789222044197,428.2953129371074,443.185575137967,457.5417715724422,471.8471046005951,485.85997304239464,499.7711146715495,513.5296660817374,527.1101955697973,540.6017140967931,554.0169375143054,567.3177182675923,580.6057831692989,593.8429846646831,607.0293227537447,620.2538083975484,633.3002721192239,646.3340199893187,659.4822105236387,672.4778108389918,685.5369904122479,698.5071590244399,711.4646117850513,724.4220645456626,737.3540856031128
dpressureoriginal,0.0,0.0021362630655374993,0.002212558175020981,0.005951018539711604,0.007400625619897764,0.007934691386282139,0.00831616693369955,0.008773937590600443,0.008926527809567406,0.009308003356984817,0.009689478904402228,0.010070954451819639,0.010452429999237048,0.010833905546654459,0.011062790875104906,0.011291676203555352,0.011673151750972763,0.012054627298390174,0.012436102845807583,0.012588693064774548,0.012893873502708476,0.013122758831158923,0.013504234378576334,0.013809414816510261,0.01411459525444419,0.01441977569237812,0.014801251239795529,0.015106431677729458,0.015411612115663387,0.015640497444113832,0.015869382772564278,0.016327153429465172,0.0166323338673991,0.01701380941481651,0.017242694743266958,0.017624170290684367,0.017853055619134812,0.018310826276035707
dflow,0.04108094324483602,178.5634747684939,271.3951195576234,310.6700461991782,335.6631813347131,353.51542071723804,371.36766009976293,389.2198994822878,407.0721388648127,417.7834824943277,428.4948261238426,446.3470655063676,464.19930488889247,482.05154427141736,489.19244002442736,503.47423153044724,514.1855751599622,532.0378145424871,546.319606048507,560.6013975545269,574.8831890605469,592.7354284430718,607.0172199490917,621.2990114551117,632.0103550846266,642.7216987141414,664.1443859731714,678.4261774791913,696.2784168617162,706.9897604912312,724.8419998737561,735.553343503271,756.976030762301
dpressure,0.0021362630655374993,0.005951018539711604,0.007934691386282139,0.008773937590600443,0.009308003356984817,0.009689478904402228,0.010070954451819639,0.010452429999237048,0.010833905546654459,0.011062790875104906,0.011291676203555352,0.011673151750972763,0.012054627298390174,0.012436102845807583,0.012588693064774548,0.012893873502708476,0.013122758831158923,0.013504234378576334,0.013809414816510261,0.01411459525444419,0.01441977569237812,0.014801251239795529,0.015106431677729458,0.015411612115663387,0.015640497444113832,0.015869382772564278,0.016327153429465172,0.0166323338673991,0.01701380941481651,0.017242694743266958,0.017624170290684367,0.017853055619134812,0.018310826276035707
darcy,0.002717068457614359,4.239515537233491,4.832667322862114,5.002876096129458,5.0952099165010125,5.154930891431997,5.210127550080329,5.2612952555426515,5.308859601465374,5.33582366515398,5.36169459112548,5.4025582541523605,5.440835609392727,5.476764660630618,5.490526576013861,5.517073229356679,5.536172929072806,5.566566989826342,5.589673192918534,5.61178020884998,5.632951478075335,5.658187849252465,5.677459259969547,5.695967446499813,5.709374596254664,5.722395001305048,5.747340637149243,5.763208197563897,5.7822421545635425,5.793258267729706,5.810982605652181,5.821253632243151,5.841025358430773
darcy avg,5.47
pg1value,5
pg2value,5
pg1offset,0.0
pg2offset,0.0
frazierflow1,428.4948261238426
frazierpressure1,0.011291676203555352
frazier,34.97779
gurley,0.0042
gurleyflow,-1.2341675708163316E16
frazierflow,751.79
