permeability
dpressure,0.0,2.269016556038758,2.3346303501945527,2.4063477531090256,2.461280231937133,2.5268940260929273,2.577248798352026,2.6413366903181505,2.716105897611963,2.780193789578088,2.844281681544213,2.9098954757000075,2.969405661097124,3.0502784771496145,3.1143663691157397,3.1738765545128556,3.248645761806668,3.3112077515831233,3.3844510566872663,3.419546807049668,3.4912642099641413,3.5461966887922483,3.608758678568704,3.6865796902418553,3.7415121690699626,3.822384985122454,3.8834210727092393,3.949034866865034,4.025329976348516,4.097047379262989,4.165712977798123,4.231326771953918,4.336614023041123,4.380865186541543,4.473945220111391,4.534981307698176,4.568551155870908,4.69214923323415,4.7989623865110245,4.86152437628748,4.94850080109865,5.044632639047837,5.119401846341649,5.1758602273594265,5.273517967498283,5.37117570763714,5.430685893034257,5.539024948500801,5.610742351415274,5.677882047760739,5.7923247119859615,5.859464408331426,5.906767376211185,6.018158236057069,6.112764171816586,6.160067139696346,6.276035706111238,6.364538033112077,6.411841000991837,6.515602349889372,6.613260090028229,6.69718471046006,6.776531624322881,6.901655603875792,6.9581139848935685,7.031357289997711,7.16563668268864,7.2388799877927825,7.29228656443122,7.46166170748455,7.492179751277943,7.566948958571755,7.714961470969711,7.7882047760738535,7.835507743953612,7.946898603799497
darcy avg,5.98
fluidname,Nitrogen
duration,543:48:44
pg2value,100
pg2offset,0.07003891050583658
splate,Medium
dflow,0.0,163.88189517051956,359.8077363241016,449.22560463874265,525.6733043411917,595.8648050659953,664.5304036011291,730.6019684138247,807.5074387731746,885.3284504463264,965.2857251850156,1039.2919813839933,1127.9468986037996,1208.5145342183566,1308.3085374227512,1393.6064698252842,1469.7489890897994,1555.0469214923323,1637.903410391394,1713.8933394369421,1778.8967727168688,1852.7504386968794,1933.0128938735027,2010.9864957656214,2089.570458533608,2166.018158236057,2247.043564507515,2325.017166399634,2397.9552910658426,2479.8962386511025,2564.126039520867,2646.5247577630275,2735.9426260776686,2821.6983291371025,2906.3859006637676,2979.1714351110095,3053.330281528954,3142.1377889677274,3248.187991149767,3345.2353704127568,3441.214618142977,3530.632486457618,3613.7941557946137,3694.3617914091706,3779.8123140306707,3868.162050812543,3953.307392996109,4037.0794232089725,4122.224765392539,4199.58800640879,4285.801480125124,4370.489051651789,4456.092164492256,4535.28648813611,4614.9385824368655,4691.233691920348,4770.122835126268,4853.894865339132,4934.767681391623,5017.166399633784,5098.802166781109,5179.522392614634,5267.261768520638,5350.881208514535,5433.585107194629,5509.727626459144,5592.584115358206,5677.271686884871,5752.498664835584,5835.6603341725795,5910.734721904326,5983.672846570535,6054.7798886091405,6132.295719844358,6202.9449912260625,6269.626916914625
durationsecond,1957724
frazier,-1000505.8207601976
darcy,0.7089406680991732,1.512756219999065,1.832410154039538,2.096386895222625,2.3146071114208326,2.530900590430915,2.7150238639590563,2.918209121193839,3.1256901861763304,3.331193473182917,3.5057162732126272,3.728513326023288,3.888919602180368,4.123415050896016,4.3098951019024305,4.440760893504941,4.6097104310370085,4.750251748583578,4.919622913562674,5.001319600049624,5.128267635343233,5.257671973825003,5.354292657683677,5.481841003812784,5.562169816536002,5.679545548478621,5.778987737150588,5.847310707768583,5.9412674241434855,6.041803593863672,6.139259241297414,6.192596647586034,6.322186013115973,6.376453444480455,6.448171373884625,6.560121303128931,6.57309617573081,6.643705726247184,6.7541513729876375,6.825817799560317,6.869728046066514,6.928843750242247,7.006053695277113,7.035360933691449,7.06890064417719,7.145333071425289,7.154026584156201,7.21153838297142,7.260004633038424,7.262660244702476,7.321308266784199,7.40492858596962,7.397035465058602,7.410454785379939,7.475120525124199,7.460376309037284,7.485831661077621,7.554409883253395,7.558237094683998,7.5677911080465226,7.59126260514246,7.629463683206205,7.610069148137026,7.664988583476414,7.691437949428692,7.660803410131066,7.698123581268174,7.743002101605953,7.676637403955357,7.743723853360679,7.761820831487947,7.703377407860734,7.728626241942267,7.770471340122747,7.743915472412282
testname,permeability
testtime,00:08:05
testdate,02/05/2019
fluidvalue,0.0185
sample,satyam 2
application,Wire Mesh
lotno,1
gurley,-5366832.137246039
pg1value,5
customerid,N0037
thikness,.15
indistry,Filtration
samplediameter,2.3
materialclassification,
pg1offset,0.0
