permeability
testname,permeability
sample,Q NO 3879
samplediameter,4.3
thikness,0.0085
fluidname,Nitrogen
fluidvalue,0.0185
lotno,3879
duration,0 min:28 sec
durationsecond,28
testtime,16:02:03
testdate,25/09/2019
customerid,N0048
indistry,Textile
application,Geotextiles
materialclassification,
splate,Large
darcy avg,17.28
dfloworiginal,0.0,15.259021896696423,15.259021896696423,15.259021896696423,15.259021896696423,9.155413138017853,137.3311970702678,390.6309605554284,781.2619211108567,949.1111619745175,1162.7374685282673,1693.7514305333027,2761.8829633020523,4635.690852216373,7705.806057831693,11630.426489662013,16263.065537499046,21167.315175097276,26037.994964522775,30945.296406500343,36188.29633020523,41391.622796978714,46503.39513237202,51438.162813763636,56467.53643091478,61802.09048599985,67103.07469291218,72153.8109407187,76966.50644693675
dflow,79.87650799505633,324.9861381658723,335.6269653461856,346.26645093523683,388.81098021217093,495.0784614332382,505.69784015345897,537.5479409332995,558.7746467191835,579.9959980400897,749.5741838689514,1098.2496316443069,2281.2474092614366,4323.871109770355,7677.031325301724,11074.323188001816,16823.59202288068,21141.04212298924,25661.940002963485,32153.855338818463,35574.90846238426,42178.85119248801,44865.13846092862,51917.04291718933,56886.23601152224,61979.334414676414,66706.96921418745,71887.45018450044,77213.67103461968
dpressure,0.0,0.0017547875181200886,0.0018310826276035706,0.0019073777370870527,0.002212558175020981,0.002975509269855802,0.0030518043793392844,0.0032806897077897307,0.003433279926756695,0.003585870145723659,0.004806591897459373,0.0073243305104142824,0.01594567788204776,0.0311284046692607,0.05691615167467765,0.08422980086976425,0.1335164415960937,0.17341878385595483,0.21828030823224231,0.2891584649423972,0.3300526436255436,0.4170290684367132,0.4557106889448386,0.5665674830243381,0.6516365300984207,0.74189364461738,0.8250553139543755,0.9119554436560616,0.9943541618982223
darcy,1.383773994378887,1.3261167446130997,1.2730720748285758,1.0974759265763585,0.48964310570329844,7.1610304209107385,18.94804948582066,36.211827906235044,42.11972502890289,38.49527464362597,36.79973966301351,27.562924108130648,23.698486294909394,21.544953008995666,21.973177885741407,19.383431676461374,19.423730556557416,18.98261262222546,17.030278151400733,17.44809138155022,15.794618140230492,16.23896892368813,14.447636561564533,13.789750966252862,13.256367023526064,12.942624737068025,12.590664713951316,12.317531545759486
pg1value,5
pg2value,100
pg1offset,0.0
pg2offset,0.0
gurleyflow,21618.44
frazierflow,2587.8
gurley,9489.35
frazier,350.78
