permeability
testname,permeability
sample,sintered disk
samplediameter,2.3
thikness,1.6
fluidname,Nitrogen
fluidvalue,0.0185
lotno,1
duration,112:9:5
durationsecond,403745
testtime,10:34:00
testdate,22/07/2019
customerid,N0048
indistry,Filtration
application,air filter
materialclassification,Consolidate
splate,Medium
darcy avg,2850.61
dflow,31.107794178846653,33.07046615600607,33.07046615600607,33.07046615600607,33.07046615600607,33.07046615600607,33.07046615600607,33.07046615600607,522.1228050573733,788.4417737612296,920.0569813845093,1169.4895147455022,1406.319600641369,1677.7543293372964,2082.810112723067,3115.027822582796,4450.968938472741,6548.868042123972,12262.2828687485,15788.865010398511,19710.804333090953,24016.028777988788,27620.914494684526,31012.484836000818,35281.09492446612,39104.121923152394,42526.82925023405,45749.6991845893,50144.539360879324,54487.1152879579,57772.10347274131,60544.98618450799,64136.064269222545,66913.14902992251,69993.97593926202,73137.93431849277,76210.8055503203,79433.75421169892,82844.39598911394,85779.22619178538,88550.88009408122,91267.97902574224,94650.10885513693,97118.59229190042,100852.04350757226,105212.54034628972,107671.23050852404,110227.73287948065,115264.32344876745,116654.73778810029,119263.24825000697,121617.086414049,124431.48168955176,127902.69778799106,131086.312384904,133748.64289723607,136595.13895767485,139554.58302812206,142735.7206114281,145498.88059199892,147979.7652789576,150627.72864165503,153042.41378669295,155991.61778297726,158366.10689572568
dpressure,0.0,3.0518043793392844E-4,3.0518043793392844E-4,3.0518043793392844E-4,3.0518043793392844E-4,3.0518043793392844E-4,3.0518043793392844E-4,3.0518043793392844E-4,0.03372243839169909,0.044785229266804,0.04966811627374685,0.05821316853589685,0.0656900892652781,0.07370107576104372,0.08484016174563211,0.11039902342259861,0.14007782101167315,0.18303196765087357,0.29495689326314184,0.3671320668345159,0.4541084916456855,0.5603112840466926,0.658655680170901,0.7584496833752956,0.8923476005188068,1.01884489204242,1.1371786068513008,1.253376058594644,1.4200808728160526,1.5943389028763257,1.731746395056077,1.850766765850309,2.0083161669336995,2.1326771953917754,2.2735942626077668,2.4213778896772715,2.5705348287174794,2.7324330510414283,2.909208819714656,3.064240482185092,3.2114900434882125,3.35561150530251,3.5346761272602425,3.666285191119249,3.871213855191882,4.132295719844358,4.299153124284733,4.495689326314183,4.937819485770962,5.055313954375524,5.255207141222248,5.41542687113756,5.590905622949569,5.7969024185549705,5.987640192263676,6.155489433127337,6.3462272068360415,6.550698100251774,6.762798504615854,6.936751354238194,7.090867475394827,7.264820325017166,7.441824979018845,7.655451285572595,7.794308384832532
dfloworiginal,31.107794178846653,33.07046615600607,33.07046615600607,33.07046615600607,33.07046615600607,33.07046615600607,33.07046615600607,33.07046615600607,522.1228050573733,788.4417737612296,920.0569813845093,1169.4895147455022,1406.319600641369,1677.7543293372964,2082.810112723067,3115.027822582796,4450.968938472741,6548.868042123972,12262.2828687485,15788.865010398511,19710.804333090953,24016.028777988788,27620.914494684526,31012.484836000818,35281.09492446612,39104.121923152394,42526.82925023405,45749.6991845893,50144.539360879324,54487.1152879579,57772.10347274131,60544.98618450799,64136.064269222545,66913.14902992251,69993.97593926202,73137.93431849277,76210.8055503203,79433.75421169892,82844.39598911394,85779.22619178538,88550.88009408122,91267.97902574224,94650.10885513693,97118.59229190042,100852.04350757226,105212.54034628972,107671.23050852404,110227.73287948065,115264.32344876745,116654.73778810029,119263.24825000697,121617.086414049,124431.48168955176,127902.69778799106,131086.312384904,133748.64289723607,136595.13895767485,139554.58302812206,142735.7206114281,145498.88059199892,147979.7652789576,150627.72864165503,153042.41378669295,155991.61778297726,158366.10689572568
darcy,2093.9933426959074,2093.9933426959074,2093.9933426959074,2093.9933426959074,2093.9933426959074,2093.9933426959074,2093.9933426959074,1999.242512709667,2504.230539305838,2418.8678858791436,2288.8472448340585,2247.2123677712175,2146.018022017545,2135.4212685406105,2720.5995053685597,3380.4990565090784,3945.3313501398507,4203.152700289767,4581.371968392043,4553.872618927391,4461.711305352063,4396.100468321629,4297.520589244734,4118.879175962896,4025.2215895614754,3925.5526321106368,3836.1835671887047,3664.403973475049,3576.1321918998683,3495.8931944717024,3438.5411333559555,3343.6435125249545,3291.8986674571224,3222.922773694311,3157.6498533176023,3095.619743945083,3038.1438005574555,2981.706814272298,2935.0213189682895,2894.1711137567404,2855.280995592718,2800.217219309336,2774.9093949072994,2717.899360726588,2649.5615332084476,2628.779376072486,2590.546061872655,2432.034789613195,2409.388053835436,2375.685304272857,2355.314743507408,2336.482801021746,2309.7314301745014,2289.8916495520916,2273.233774335197,2253.4973318678385,2231.6905988438357,2209.654346823154,2195.929270267092,2186.2786529141385,2168.807093503001,2154.232683680167,2133.22702302547,2127.3217801980954
pg1value,5
pg2value,100
pg1offset,0.0
pg2offset,0.0
gurley,2983.22
frazier,109.47
