porometer
testname,porometer
sample,satyam 22
samplediameter,2.3
thikness,1.3
fluidname,Galwick
fluidvalue,15.9
thresold,3000
lotno,2
duration,0:6:53
durationsecond,413
testtime,15:35:57
testdate,07/05/2019
customerid,N0037
indistry,Filtration
application,Wire Mesh
materialclassification,Unknown
crosssection,Square
materialtype,Hydrophilic
tfact,1.0
splate,Medium
bpressure,0.2059205004959182
bdiameter,44.8
bubble flow,23.100938429846646,23.188830395971618,23.20073243305104,23.24055848020142,23.275806820782787,23.250629434653238,23.242389562829022,23.281300068665598,23.279926756694895,23.24742504005493,23.264820325017165,23.294575417715723,23.26710917830167,23.25749599450675,23.289997711146714,23.28679331654841,23.250171663996337,23.264362554360265,23.29320210574502,23.263447013046463,23.24742504005493,23.284504463263904
Dt,0.907,0.905,0.905,0.907,0.905,0.906,0.905,0.905,0.906,0.906,0.907,0.905,0.905,0.907,0.905,0.906,0.907,0.904,0.906,0.907,0.905,0.905
p1,0.0,0.006027313649195087,0.02861066605630579,0.04127565423056382,0.0571450370031281,0.0814831769283589,0.09903105210955977,0.11123826962691691,0.13153276874952316,0.1543450064850843,0.1675440604257267,0.18265049210345616,0.20668345159075302,0.22484168764782178,0.22590981918059053,0.2208743419546807,0.2204165712977798,0.21133745326924544,0.2046997787441825,0.2076752880140383,0.2059205004959182,0.19790951400015258
p2,0.006027313649195087,0.02861066605630579,0.04127565423056382,0.0571450370031281,0.0814831769283589,0.09903105210955977,0.11123826962691691,0.13153276874952316,0.1543450064850843,0.1675440604257267,0.18265049210345616,0.20668345159075302,0.22484168764782178,0.22590981918059053,0.2208743419546807,0.2204165712977798,0.21133745326924544,0.2046997787441825,0.2076752880140383,0.2059205004959182,0.19790951400015258,0.19859616998550392
Dp,0.006027313649195087,0.022583352407110704,0.01266498817425803,0.015869382772564278,0.024338139925230796,0.017547875181200878,0.012207217517357136,0.020294499122606252,0.022812237735561153,0.013199053940642386,0.01510643167772946,0.024032959487296862,0.01815823605706876,0.0010681315327687457,-0.005035477225909829,-4.57770656900891E-4,-0.009079118028534366,-0.006637674525062948,0.0029755092698558194,-0.00175478751812011,-0.00801098649576562,6.866559853513365E-4
fpt,3476.266936708861,929.2637837837838,1657.8509638554217,1328.2927788461539,865.4977429467084,1200.4342434782614,1723.1086875,1038.1915037593978,924.5745150501672,1595.7330867052046,1396.8349696969697,877.1949523809525,1159.6244117647047,19749.018000000073,-4185.789545454537,-46088.22000000016,-2322.682184873951,-3168.4264827586185,7092.446769230728,-12024.21730434768,-2626.258285714286,30688.55000000011
darcy avg,3312404.76
dpressure,0.0,0.21820401312275883,0.2243076218814374,0.22888532845044632,0.23804074158846417,0.24872205691615168,0.2594033722438392,0.28076600289921416,0.29907682917524986,0.3295948729686427,0.34637979705500876,0.3814755474174105,0.41046768902113373,0.4425116350041962,0.47913328755626766,0.5233844510566873,0.5615320057984283,0.6103608758678569,0.6546120393682765,0.7095445181963836,0.7537956816968032,0.8056763561455711,0.8682383459220264,0.9185931181811245,0.9903105210955978,1.040665293354696,1.1230640115968566,1.1749446860456245,1.2390325780117495,1.304646372167544,1.3809414816510261,1.4587624933241778,1.5167467765316243,1.603723201342794,1.6784924086366064,1.7334248874647136,1.7883573662928207,1.8905928130006866,1.9592584115358205,2.021820401312276,2.102693217364767,2.153047989623865,2.243076218814374,2.30106050202182,2.378881513694972,2.468909742885481,2.523842221713588,2.60166323338674,2.7237354085603114,2.7725642786297398,2.8671702143892577,2.94346532387274
dflow,0.0,4144.350347142748,3927.672236209659,4336.614023041123,5188.067444876783,6369.115739681087,8026.245517662318,9982.4521248188,12115.663385976959,14468.604562447546,17062.63828488594,19473.563744563973,21979.095140001526,24502.937361715114,27243.45769436179,29822.232394903487,32339.971007858396,34961.47096971084,37616.54077973602,40158.69382772564,42841.22987716487,45514.61051346609,48169.680323491266,50803.387502861064,53357.74776836805,56000.61036087587,58625.16212710765,61216.14404516671,63797.97055008774,66465.24757763027,68958.57175555047,71534.29465171283,73923.85748073549,76005.18806744488,78385.59548332953,81043.71709773403,83033.49355306325,85291.82879377432,87754.63492790112,89753.56679636835,92005.79842832075,93937.5906004425,96061.64644846265,98091.09636072328,100257.87747005417,102357.5188830396,104371.70977340352,106446.93675135424,108653.39131761654,110884.26031891356,112907.60662241551,114830.24338139925
darcy,1388634.0004348455,1280221.9654455301,1385245.9243513104,1593486.4879805848,1872228.736430224,2262199.4335248247,2599481.813109914,2961818.8827615124,3209521.3305133134,3601535.4777681115,3732267.801528098,3914938.0955260065,4048438.2756012045,4157190.717496475,4165943.7383728675,4210747.290358568,4187907.45321128,4201350.684673516,4138033.4427229553,4155299.6876046043,4130325.4981637937,4056288.796961177,4043556.822556572,3939310.0425206176,3934375.0392385903,3816573.343766542,3809277.534098394,3764594.51236781,3724739.309659271,3650959.783201723,3585285.7687726603,3563408.4619145337,3465037.1261948897,3414372.871245929,3418285.9565403564,3394634.8810159694,3298401.2804959863,3274706.71525268,3245661.383971323,3199140.775114673,3189919.866385433,3131122.517974278,3116704.423732574,3081340.9893557536,3031158.198891709,3023532.6519219065,2991411.4739758484,2916570.2129923715,2924033.5188800883,2879146.6853293558,2852275.2139134244
wpressure,0.2059205004959182,0.28381780727855344,0.31738765545128556,0.3662165255207141,0.4196231021591516,0.4516670481422141,0.4669260700389105,0.4882887006942855,0.5065995269703212,0.5264362554360266,0.5401693751430533,0.5661097123674372,0.6042572671091783,0.6424048218509194,0.6759746700236515,0.7095445181963836,0.7614251926451514,0.8056763561455711,0.8636606393530175,0.9094377050431067,0.9826810101472495,1.0360875867856871,1.0894941634241244,1.168841077286946,1.2161440451667047,1.2817578393224995,1.3595788509956512,1.4312962539101244,1.4953841458762493,1.5686274509803921,1.637293049515526,1.713588158999008,1.7746242465857938,1.8448157473105975,1.9302662699320974,2.0111390859845883,2.038605325398642,2.1179522392614634,2.1850919356069274,2.2491798275730526,2.354467078660258,2.3895628290226596,2.51621271076524,2.5833524071107044,2.6504921034561684,2.7985046158541236
wflow,0.0,3262.378881513695,4187.075608453498,5377.2793163958195,6585.793850614175,8062.867170214389,10260.166323338673,12838.941023880368,15518.42526894026,18490.882734416722,21585.412375066757,24502.937361715114,27512.01647974365,30582.131685358967,33481.34584573129,36603.34172579538,39411.00175478752,42172.88471808957,45020.21820401312,47779.04936293584,50556.191348134584,53565.27046616312,56202.02944991226,59009.6894789044,61789.88326848249,64478.5229266804,67017.62417029068,69773.40352483405,72233.15785458153,74668.49774929427,77122.14847028305,79465.93423361563,81678.49240863661,84037.53719386588,86439.30724040589,88831.92187380789,90727.09239337758,92146.18142977035,94288.54810406653,96473.64003967345,98683.1464103151,100999.46593423361,103120.46997787443,105348.2871747921,107594.41519798581,112004.27252613107
dflownew,0.0,10291.1749,13832.892,18388.8632,22718.7459,25100.8836,26188.9526,27663.9376,28883.5262,30158.5925,31013.9309,32572.2869,34747.8678,36825.7233,38609.8097,40375.7966,43084.2182,45351.2021,48187.0836,50272.4671,53334.9799,55445.8086,57558.6336,60814.9239,62803.117,65502.0543,68429.6709,70806.5865,72778.5188,75064.628,77366.8398,80060.2615,82177.1446,84427.1168,86903.0221,89223.1045,90053.8919,92588.1563,94746.7475,96628.3517,99327.0151,100247.6654,104128.6706,105958.861,107146.5896,112132.4225
diameter,44.7959,32.5011,29.0635,25.1884,21.9826,20.423,19.7556,18.8913,18.2085,17.5223,17.0769,16.2944,15.2657,14.3592,13.6461,13.0004,12.1146,11.4493,10.6806,10.143,9.387,8.9031,8.4667,7.8919,7.585,7.1967,6.7847,6.4448,6.1686,5.8806,5.6339,5.3831,5.1979,5.0002,4.7788,4.5867,4.5249,4.3553,4.2215,4.1012,3.9178,3.8603,3.666,3.5707,3.4803,3.2962
avgdia,44.7959,38.6485,30.7823,27.126,23.5855,21.2028,20.0893,19.3235,18.5499,17.8654,17.2996,16.6857,15.7801,14.8125,14.0027,13.3233,12.5575,11.7819,11.065,10.4118,9.765,9.1451,8.6849,8.1793,7.7385,7.3909,6.9907,6.6148,6.3067,6.0246,5.7573,5.5085,5.2905,5.0991,4.8895,4.6828,4.5558,4.4401,4.2884,4.1614,4.0095,3.8891,3.7632,3.6184,3.5255,3.3883
cff,0.0,31.7007,30.269,29.242,28.9884,32.1218,39.1775,46.4104,53.7276,61.3122,69.5991,75.2263,79.1761,83.0456,86.7172,90.6566,91.4743,92.9918,93.428,95.0402,94.7899,96.6083,97.6431,97.0316,98.3867,98.4374,97.9365,98.5408,99.2507,99.4723,99.6837,99.2577,99.3932,99.5386,99.4664,99.5616,100.7476,99.5226,99.5164,99.8399,99.3518,100.7499,99.0318,99.4238,100.418,99.8857
ffp,0.0,31.7007,1.4317,1.027,0.2536,3.1334,7.0557,7.2329,7.3172,7.5846,8.2869,5.6272,3.9498,3.8695,3.6716,3.9394,0.8177,1.5175,0.4362,1.6122,0.2503,1.8184,1.0348,0.6115,1.3551,0.0507,0.5009,0.6043,0.7099,0.2216,0.2114,0.426,0.1355,0.1454,0.0722,0.0952,1.186,1.225,0.0062,0.3235,0.4881,1.3981,1.7181,0.392,0.9942,0.5323
hdf,0.0,5145.5875,6916.446,9194.4316,11359.373,12550.4418,13094.4763,13831.9688,14441.7631,15079.2963,15506.9655,16286.1435,17373.9339,18412.8617,19304.9049,20187.8983,21542.1091,22675.6011,24093.5418,25136.2336,26667.49,27722.9043,28779.3168,30407.462,31401.5585,32751.0272,34214.8355,35403.2933,36389.2594,37532.314,38683.4199,40030.1307,41088.5723,42213.5584,43451.5111,44611.5523,45026.946,46294.0782,47373.3738,48314.1759,49663.5076,50123.8327,52064.3353,52979.4305,53573.2948,56066.2113
psd,0,2.5784,0.4165,0.265,0.0791,2.0091,10.5719,8.3685,10.7165,11.053,18.6055,7.1913,3.8396,4.2686,5.1488,6.101,0.9231,2.2809,0.5675,2.9989,0.3311,3.7578,2.3712,1.0638,4.4154,0.1306,1.2158,1.7779,2.5702,0.7694,0.8569,1.6986,0.7316,0.7355,0.3261,0.4956,19.1909,7.2229,0.0463,2.6891,2.6614,24.3148,8.8425,4.1133,10.9978,2.8914
pg1value,5
pg2value,100
pg1offset,0.025177386129549097
pg2offset,0.0691233691920348
meanp,0.4971
meand,18.5564
